index,Original Text,Extracted Laws
11,"1. 범죄사실에 대한 해당법조
각 형법 제347조 제1항, 제30조 (각 징역형 선택)
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조(형과 범정이 가장 무거운 피해자 Z에 대한 사기죄에 정한 형에 경합범가중)
1. 배상 신청의 각하
소송촉진 등에 관한 특례법 제32조 제1항 제3호, 제25조 제3항 제3호(피고인의 배상책임의 범위가 명백하지 아니함)","특례법 32조 제1항 제3호, 형법 347조 제1항, 형법 37조"
12,"1. 범죄사실에 대한 해당법조 및 형의 선택
각 형법 제347조 제1항, 제30조, 각 징역형 선택
1. 경합범 가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 집행유예
형법 제62조 제1항
1. 배상신청의 각하
소송촉진 등에 관한 특례법 제32조 제1항 제3호, 제25조 제3항 제3호(배상책임의 범위가 명백하지 아니함)","특례법 32조 제1항 제3호, 형법 347조 제1항, 형법 37조, 형법 62조 제1항"
13,"1. 범죄사실에 대한 해당법조 및 형의 선택
각 형법 제347조 제1항, 제30조, 각 징역형 선택
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 집행유예
형법 제62조 제1항","형법 347조 제1항, 형법 37조, 형법 62조 제1항"
14,"1. 범죄사실에 대한 해당법조 및 형의 선택
형법 제347조 제1항, 제30조, 징역형 선택
1. 경합범처리
형법 제37조 후단, 제39조 제1항
1. 형의 면제
형법 제38조 제1항 후문","형법 347조 제1항, 형법 37조, 형법 38조 제1항"
15,"1. 범죄사실에 대한 해당법조 및 형의 선택
○ 피고인 A : 형법 제114조, 제347조 제1항(범죄단체가입  및 활동의  점, 포괄하여), 각 형법 제347조 제1항, 제30조(사기의 점, 송금횟수가 2회 이상인 피해자들에 대하여는 피해자별로 포괄하여), 각 징역형 선택
○ 피고인 B, C : 각 형법 제114조, 제347조 제1항(범죄단체가입 및 활동의 점, 범죄단체별로 포괄하여), 각 형법 제347조 제1항, 제30조(사기의 점, 송금횟수가 2회 이상인 피해자들에 대하여는 피해자별로 포괄하여), 각 징역형 선택
1. 경합범가중
피고인들 : 각 형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 집행유예
피고인 B, C : 각 형법 제62조 제1항
1. 사회봉사명령
피고인 B : 형법 제62조의2
1. 배상명령신청의 각하
소송촉진 등에 관한 특례법 제32조 제1항, 제25조 제3항(배상책임의 범위가 명백하지 아니함)","특례법 32조 제1항, 형법 114조, 형법 347조 제1항, 형법 37조, 형법 62조, 형법 62조 제1항"
16,"1. 범죄사실에 대한 해당법조 및 형의 선택
각 형법 제347조 제1항, 제30조(징역형 선택)
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 집행유예","형법 347조 제1항, 형법 37조"
17,"1. 범죄사실에 대한 해당법조 및 형의 선택
형법 제347조 제1항, 징역형 선택
1. 집행유예
형법 제62조 제1항","형법 347조 제1항, 형법 62조 제1항"
18,"1. 범죄사실에 대한 해당법조 및 형의 선택
○ 피고인 A: 각 형법 제114조, 제347조 제1항(범죄단체가입 및 활동의 점, 각 범죄단체별로 포괄하여), 각 형법 제347조 제1항, 제30조(사기의 점), 각 징역형 선택○ 피고인 B, C, D: 형법 제114조, 제347조 제1항(범죄단체가입 및 활동의 점, 포괄하여), 각 형법 제347조 제1항, 제30조(사기의 점), 각 징역형 선택
1. 경합범처리
B, C, D: 형법 제37조 후단, 제39조 제1항
1. 경합범가중
피고인들: 형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 집행유예","형법 114조, 형법 347조 제1항, 형법 37조"
19,"1. 범죄사실에 대한 해당법조 및 형의 선택
각 형법 제347조의 2, 제30조(피고인들의 컴퓨터 등 사용 사기의 점), 각 형법 제347조 제1항, 제30조(피고인들의 각 사기의 점), 형법 제352조, 제347조 제1항, 형법 제30조(피고인 A의 각 사기미수의 점), 각 징역형 선택
1. 경합범처리
■ 피고인 C:  형법 제37조 후단, 제39조 제1항
1. 경합범가중
■ 피고인들: 형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 집행유예
■ 피고인 C: 형법 제62조 제1항
1. 배상신청의 각하
소송촉진 등에 관한 특례법 제32조 제1항 제3호, 제2항, 제25조 제3항 제3호(피고인들의 배상신청인에 대한 배상책임의 범위가 명백하지 아니하므로)","특례법 32조 제1항 제3호, 형법 30조, 형법 347조, 형법 347조 제1항, 형법 352조, 형법 37조, 형법 62조 제1항"
20,"1. 범죄사실에 대한 해당법조 및 형의 선택
▪ 피고인 A : 각 형법 제347조 제1항, 제30조(사기의 점), 징역형 선택
▪  피고인 B : 형법 제347조 제1항, 제30조(사기의 점), 형법 제348조의2(편의시설부정이용의 점), 각 징역형 선택
1. 경합범처리
▪ 피고인 A : 형법 제37조 후단, 제39조 제1항
1. 경합범가중
▪ 피고인들 : 형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 집행유예
▪ 피고인들 : 형법 제62조 제1항","형법 347조 제1항, 형법 348조, 형법 37조, 형법 62조 제1항"
21,"1. 범죄사실에 대한 해당법조 및 형의 선택
각 국민건강보험법 제115조 제4항(보험급여 부정수령의 점, 주민등록번호별로 포괄하여), 각 구 주민등록법(2022. 1. 11. 법률 제18476호로 개정되기 전의 것) 제37조    제10호(타인 주민등록번호 부정사용의 점, 주민등록번호별로 포괄하여), 각 주민등록법 제37조 제1항 제10호(타인 주민등록번호 부정사용의 점, 주민등록번호별로 포괄하여), 각 마약류 관리에 관한 법률 제61조 제1항 제5호, 제4조 제1항 제2호, 제2조 제3호 라목(향정신성의약품 투약의 점), 각 징역형 선택
1. 경합범처리
각 형법 제37조 후단, 제39조 제1항(2023고단973호 사건의 각 죄를 제외한 나머지    각 죄에 대하여)
1. 경합범가중
각 형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 이수명령
마약류 관리에 관한 법률 제40조의2 제2항
1. 추징
마약류 관리에 관한 법률 제67조 단서
[추징금 산정 근거]
- 2023고단973 사건: 28정 × 173원(1정당 금액) = 4,844원
- 검사는 41,174원의 추징을 구하나 2023고단245호 사건 제4항 투약 범행의 경우 투약량이 특정되지 아니하였으므로 이를 추징할 수 없음
1. 가납명령
형사소송법 제334조 제1항","국민건강보험법 115조 제4항, 주민등록법 37조 제1항 제10호, 형법 37조, 형사소송법 334조 제1항"
22,"1. 범죄사실에 대한 해당법조
형법 제347조의2, 제32조 제1항(컴퓨터등사용사기방조의 점), 각 전자금융거래법 49조 제4항 제2호, 제6조 제3항 제3호(접근매체 보관의 점)
1. 상상적 경합
형법 제40조, 제50조[범죄일람표(3) 연번 1 내지 3 기재 각 전자금융거래법위반죄,    범죄일람표(3) 연번 4 내지 16 기재 각 전자금융거래법위반죄 각 상호간]
1. 형의 선택
각 징역형 선택
1. 누범가중
형법 제35조
1. 방조감경
형법 제32조 제2항, 제55조 제1항 제3호(컴퓨터등사용사기방조죄에 대하여)
1. 경합범처리
형법 제37조 후단, 제39조 제1항
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 몰수
각 형법 제48조 제1항
1. 배상명령신청의 각하
소송촉진 등에 관한 특례법 제32조 제1항(피고인의  가담 경위, 정도 등에 비추어    피고인의 책임이 제한될 수 있어 배상책임의 범위가 명백하지 아니함)","특례법 32조 제1항, 형법 32조 제2항, 형법 347조, 형법 35조, 형법 37조, 형법 40조, 형법 48조 제1항"
23,"1. 범죄사실에 대한 해당법조 및 형의 선택
각 형법 제347조 제1항, 제30조(사기의 점), 형법 제352조, 제347조 제1항, 제30조(사기 미수의 점), 각 징역형 선택
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 배상명령신청의 각하
소송촉진 등에 관한 특례법 제32조 제1항 제3호, 제25조 제3항 제3호(배상책임의    범위가 명백하지 않아 형사소송절차에서 배상명령을 하는 것이 타당하지 않음)","특례법 32조 제1항 제3호, 형법 347조 제1항, 형법 352조, 형법 37조"
24,"1. 범죄사실에 대한 해당법조와 형의 선택
각 형법 제347조 제1항, 제30조, 징역형 선택
1. 경합범처리
형법 제37조 후단, 제39조 제1항
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조","형법 347조 제1항, 형법 37조"
25,"1. 범죄사실에 대한 해당법조 및 형의 선택
각 형법 제347조 제1항, 제30조(사기의 점), 각 범죄수익은닉의 규제 및 처벌 등에    관한 법률 제3조 제1항 제1호, 형법 제30조(범죄수익 취득 및 처분에 관한 사실 가장의 점), 각 징역형 선택
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 집행유예
형법 제62조 제1항
1. 배상신청의 각하
소송촉진 등에 관한 특례법 제32조 제1항 제3호, 제25조 제3항 제3호(고의의 공동불법행위로 인한 손해배상책임을 부담하는 경우에도 일정한 경우 과실상계와 공평의 원칙에 기한 책임의 제한이 가능한바, 피고인이 범행에 가담한 경위와 정도, 사기 피해가 발생한 경위 등에 비추어, 피고인의 배상책임 범위가 명백하지 아니함)","특례법 32조 제1항 제3호, 형법 30조, 형법 347조 제1항, 형법 37조, 형법 62조 제1항"
26,"1. 범죄사실에 대한 해당법조 및 형의 선택
각 형법  제347조 제1항, 제30조(사기의  점), 형법 제230조, 제30조(사문서위조의    점), 범죄수익은닉의 규제 및 처벌에 관한 법률 제3조 제1항 제1호, 형법 제30조(범죄수익 취득·처분 가장의 점), 징역형 선택
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 집행유예
형법 제62조 제1항
1. 사회봉사명령
형법 제62조의2
1. 배상신청의 각하
소송촉진 등에 관한 특례법 제32조 제1항 제3호, 제2항, 제25조 제3항 제3호(피해자와 합의하여 피해변제가 이루어진 점, 피고인의 가담정도에 따른 책임제한의 정도 등을 고려하면 배상책임의 범위가 명백하지  아니하므로 배상명령을 하는 것이    타당하지 아니함)","특례법 32조 제1항 제3호, 형법 230조, 형법 30조, 형법 347조 제1항, 형법 37조, 형법 62조, 형법 62조 제1항"
27,"1. 범죄사실에 대한 해당법조
각 형법 제347조 제1항, 제30조, 각 징역형 선택
1. 경합범처리
형법 제37조 후단, 제39조 제1항
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 집행유예
형법 제62조 제1항
1. 배상신청의 각하
소송촉진 등에 관한 특례법 제32조 제1항 제3호, 제25조 제3항 제3호","특례법 32조 제1항 제3호, 형법 347조 제1항, 형법 37조, 형법 62조 제1항"
28,"1. 범죄사실에 대한 해당법조 및 형의 선택
각 형법 제347조 제1항, 제30조(2023고단1753 사건의 판시 제1의 나.항의 경우 포괄하여), 각 징역형 선택
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 집행유예
형법 제62조 제1항","형법 347조 제1항, 형법 37조, 형법 62조 제1항"
29,"1. 범죄사실에 대한 해당법조 및 형의 선택
각 형법 제347조 제1항, 제30조(징역형 선택)
1. 경합범의 처리
형법 제37조 후단, 제39조 제1항
1. 경합범 가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조(범정이 가장 무거운 피해자 B에 대한 사기죄에 정한 형에 경합범 가중)
1. 집행유예","형법 347조 제1항, 형법 37조"
30,"1. 범죄사실에 대한 해당법조 및 형의 선택
각 형법 제347조 제1항, 제30조, 징역형 선택
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 집행유예
형법 제62조 제1항
1. 배상신청의 각하
소송촉진 등에 관한 특례법 제32조 제1항 제2호, 제3호, 제25조 제3항 제3호, 제4호    [각하 이유]
가. 배상신청인 B, C의 배상신청
위 배상신청인들은 피고인으로부터 피해 금액 중 일부를 변제받고 추후 피고인에 대한 민·형사상 이의를 제기하지 않겠다는 의사를 표시하였다. 따라서 위 배상신청인들의 배상신청은 이유 없다고 인정되므로 각 각하한다.
나. 배상신청인 D의 배상신청
이 사건 보이스피싱  범행의 성격과 내용, 피고인의  가담 정도와 실제로 취득한 이익, 배상신청인에 대한 기망 내용, 손해의 회피가능성 등을 종합하여 보면, 편취금액에 대한 피고인의 책임을 일부 제한하더라도 피고인에게 불법행위로 인한 이익을 보유하게 하여 공평의 이념이나 신의칙에 반하는 결과가 초래된다고 단정할 수 없으므로 피고인의 손해배상책임에 대한 책임제한이 가능하다고 볼 여지가 있다. 그런데 형사재판에 제출된 자료만으로는 위와 같은 측면을 모두 고려하여 피고인의 배상책임 범위를 확정하기 어려우므로, 피고인의 위 배상신청인에 대한 손해배상의 범위는 민사소송 절차를 통하여 확정하는 것이 바람직하다. 따라서 위 배상신청인의 배상신청은 형사재판절차에서 배상명령을 하는 것이 타당하지 않다고 인정되므로 각하한다.","특례법 32조 제1항 제2호, 형법 347조 제1항, 형법 37조, 형법 62조 제1항"
31,"1. 범죄사실에 대한 해당법조 및 형의 선택
각 형법 제347조 제1항, 제30조(사기의 점), 범죄수익은닉의 규제 및 처벌에 관한 법률 제3조 제1항 제1호, 형법 제30조(범죄수익의 취득 또는 처분에 관한 사실 가장의 점, 포괄하여), 각 주민등록법 제37조 제1항 제10호, 형법 제30조(다른 사람의 주민등록번호 부정사용의 점), 각 징역형 선택
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 집행유예
형법 제62조 제1항
1. 배상신청의 각하","주민등록법 37조 제1항 제10호, 형법 30조, 형법 347조 제1항, 형법 37조, 형법 62조 제1항"
32,"1. 범죄사실에 대한 해당법조 및 형의 선택
형법 제355조 제1항(횡령의 점), 각 형법 제347조 제1항(사기의 점), 각 징역형 선택
1. 경합범처리
형법 제37조 후단, 제39조 제1항
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 집행유예
형법 제62조 제1항
1. 사회봉사명령
형법 제62조의2","형법 347조 제1항, 형법 355조 제1항, 형법 37조, 형법 62조, 형법 62조 제1항"
33,"1. 범죄사실에 대한 해당법조 및 형의 선택
형법 제347조 제1항, 제30조, 징역형 선택
1. 경합범처리
형법 제37조 후단, 제39조 제1항","형법 347조 제1항, 형법 37조"
34,"1. 범죄사실에 대한 해당법조
형법 제347조 제1항, 제30조, 징역형 선택",형법 347조 제1항
35,"1. 범죄사실에 대한 해당법조 및 형의 선택
각 형법 제347조 제1항(사기의 점, 각 피해자 및 기망행위별로 포괄하여), 형법 제347조의2(컴퓨터등사용사기의 점), 각 징역형 선택
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 배상신청의 각하
소송촉진 등에 관한 특례법 제32조 제1항 제3호, 제25조 제3항 제3호, 제4호(각 청구금액과 공소사실 기재 피해금액이  일치하지 않거나, 피고인이  일부 변제한 금액이  있는 등 배상책임의  범위가 명백하지  않고, 배상신청인에 따라 휴대전화 요금    또는 대출 이자 상당액 등 추가 손해가 발생할 가능성이 있어 형사소송 절차를 통해 배상명령을 하는 것이 타당하지 않음)","특례법 32조 제1항 제3호, 형법 347조, 형법 347조 제1항, 형법 37조"
36,"1. 범죄사실에 대한 해당법조 및 형의 선택
형법 제347조 제1항, 제30조, 징역형 선택
1. 집행유예
형법 제62조 제1항","형법 347조 제1항, 형법 62조 제1항"
37,"1. 범죄사실에 대한 해당법조
형법 제347조 제1항, 제30조, 징역형 선택
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 집행유예
형법 제62조 제1항","형법 347조 제1항, 형법 37조, 형법 62조 제1항"
38,"1. 범죄사실에 대한 해당법조 및 형의 선택
각 형법 제114조 본문(범죄단체 가입 및 활동의 점, 각 포괄하여), 각 형법 제347조    제1항(각 사기의 점), 각 징역형 선택
1. 경합범처리
형법 제37조 후단, 제39조 제1항
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 집행유예
형법 제62조 제1항","형법 114조, 형법 347조 제1항, 형법 37조, 형법 62조 제1항"
39,"1. 범죄사실에 대한 해당법조 및 형의 선택
각 형법 제347조 제1항, 제30조(각 사기의 점). 각 징역형 선택
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 집행유예
형법 제62조 제1항
1. 사회봉사명령
형법 제62조의2
1. 배상신청의 각하
소송촉진 등에 관한 특례법 제32조 제1항 제3호, 제2항, 제25조 제3항 제3호(배상책임의 범위가 명백하지 아니하므로 배상명령을 하는 것이 타당하지 아니함)","특례법 32조 제1항 제3호, 형법 347조 제1항, 형법 37조, 형법 62조, 형법 62조 제1항"
40,"1. 범죄사실에 대한 해당법조 및 형의 선택
전자금융거래법 제49조 제4항 제2호, 제6조 제3항 제3호, 징역형 선택
1. 몰수
형법 제48조 제1항","전자금융거래법 49조 제4항 제2호, 형법 48조 제1항"
41,"1. 범죄사실에 대한 해당법조 및 형의 선택
형법 제347조 제1항, 제30조, 징역형 선택
1. 집행유예
형법 제62조 제1항","형법 347조 제1항, 형법 62조 제1항"
42,"1. 범죄사실에 대한 해당법조 및 형의 선택
각 형법 제347조 제1항, 제30조(사기의 점), 각 형법 제231조, 제30조(사문서위조의    점), 각 형법 제234조, 제231조, 제30조(위조사문서행사의 점), 각 징역형 선택
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 집행유예","형법 231조, 형법 234조, 형법 347조 제1항, 형법 37조"
